日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,全国2連率,当地勝率,当地2連率,モーター番号,モーター2連率,ボート番号,ボート2連率,展示タイム,体重,年齢,進入,ST
2025-04-02,平和島,2,11:31,発売終了,1,西尾亮輔,B1,愛知,3.97,16.09,4.07,28.57,36,40.24,70,28.75,,52.0,36,,
2025-04-02,平和島,2,11:31,発売終了,2,伊藤喜智,B1,大阪,5.18,31.0,5.9,45.0,33,42.2,14,33.13,,52.2,39,,
2025-04-02,平和島,2,11:31,発売終了,3,國崎良春,B1,福岡,5.28,36.27,5.56,38.89,24,46.75,24,26.25,,52.5,50,,
2025-04-02,平和島,2,11:31,発売終了,4,大橋純一郎,A1,静岡,6.2,44.35,6.28,43.75,21,41.32,16,30.18,,52.5,44,,
2025-04-02,平和島,2,11:31,発売終了,5,滝沢芳行,A2,埼玉,4.91,31.65,5.88,44.0,53,34.3,55,41.3,,52.1,56,,
2025-04-02,平和島,2,11:31,発売終了,6,田中宏典,B1,佐賀,4.62,26.76,0.0,0.0,50,27.98,17,28.31,,53.4,25,,
2025-04-02,平和島,3,11:58,発売終了,1,岡部哲,B1,埼玉,4.4,21.11,4.63,29.63,63,47.65,68,29.73,,51.0,50,,
2025-04-02,平和島,3,11:58,発売終了,2,鶴本崇文,A2,大阪,6.46,45.61,7.59,65.52,11,25.61,18,30.25,,52.0,39,,
2025-04-02,平和島,3,11:58,発売終了,3,川原正明,A2,福井,5.57,41.67,3.33,16.67,23,34.32,65,25.87,,52.9,51,,
2025-04-02,平和島,3,11:58,発売終了,4,山下昂大,B1,岡山,5.3,31.46,6.0,45.45,56,29.76,21,32.92,,52.3,32,,
2025-04-02,平和島,3,11:58,発売終了,5,金子拓矢,A1,群馬,6.92,55.13,6.0,38.71,74,29.34,74,22.92,,52.4,41,,
2025-04-02,平和島,3,11:58,発売終了,6,牧村俊輝,B2,愛知,1.72,0.0,1.4,0.0,26,38.24,73,33.73,,52.2,21,,
2025-04-02,平和島,4,12:25,発売終了,1,吉田光,B1,佐賀,5.01,22.22,7.0,52.94,45,42.77,19,38.2,,52.0,49,,
2025-04-02,平和島,4,12:25,発売終了,2,梶野学志,A1,東京,6.57,48.1,6.28,45.31,64,38.82,52,35.44,,53.7,44,,
2025-04-02,平和島,4,12:25,発売終了,3,中村真,A2,福岡,5.25,31.65,5.17,38.89,32,29.24,29,23.38,,52.9,52,,
2025-04-02,平和島,4,12:25,発売終了,4,細川明人,B1,岡山,3.88,21.05,0.0,0.0,40,40.35,58,34.55,,55.5,50,,
2025-04-02,平和島,4,12:25,発売終了,5,坂元浩仁,A1,愛知,6.19,42.37,6.29,42.86,62,33.93,71,34.51,,54.7,39,,
2025-04-02,平和島,4,12:25,発売終了,6,井田涼介,B2,群馬,1.17,0.0,0.0,0.0,30,35.33,27,30.18,,62.3,21,,
2025-04-02,平和島,5,12:54,発売終了,1,伊藤将吉,A1,静岡,7.1,56.36,6.78,55.56,70,35.26,26,35.47,,52.0,46,,
2025-04-02,平和島,5,12:54,発売終了,2,大塚康雅,B1,東京,5.02,31.76,4.35,22.58,16,28.48,13,32.2,,51.0,30,,
2025-04-02,平和島,5,12:54,発売終了,3,岡部大輔,B1,佐賀,5.42,38.54,4.0,20.0,12,36.9,20,33.33,,52.5,44,,
2025-04-02,平和島,5,12:54,発売終了,4,夏山亮平,B1,大阪,5.2,39.19,5.14,37.93,38,38.73,67,37.65,,55.5,38,,
2025-04-02,平和島,5,12:54,発売終了,5,大賀龍之介,B1,福岡,5.57,41.49,7.67,66.67,28,36.47,31,40.98,,55.2,28,,
2025-04-02,平和島,5,12:54,発売終了,6,西川新太郎,B1,愛知,5.25,32.95,0.0,0.0,29,46.24,28,31.93,,54.8,45,,
2025-04-02,平和島,6,13:24,発売終了,1,國崎良春,B1,福岡,5.28,36.27,5.56,38.89,24,46.75,24,26.25,,52.5,50,,
2025-04-02,平和島,6,13:24,発売終了,2,星栄爾,A2,静岡,5.59,35.34,5.7,50.0,13,30.54,54,33.96,,53.4,39,,
2025-04-02,平和島,6,13:24,発売終了,3,坂口貴彦,B1,岡山,4.57,26.67,5.15,41.18,19,47.9,69,36.26,,52.8,35,,
2025-04-02,平和島,6,13:24,発売終了,4,花田和明,B1,愛知,5.18,33.33,0.0,0.0,68,33.91,10,28.82,,52.7,55,,
2025-04-02,平和島,6,13:24,発売終了,5,塚田修二,B1,東京,4.15,19.23,3.67,16.67,27,36.16,66,34.16,,56.3,57,,
2025-04-02,平和島,6,13:24,発売終了,6,中澤和志,A1,埼玉,6.86,45.45,6.92,41.67,51,43.02,23,25.32,,52.4,48,,
2025-04-02,平和島,7,13:55,投票,1,山下昂大,B1,岡山,5.3,31.46,6.0,45.45,56,29.76,21,32.92,,52.3,32,,
2025-04-02,平和島,7,13:55,投票,2,須藤隆雄,B1,群馬,3.82,18.31,4.11,16.67,15,41.82,62,32.73,,54.8,50,,
2025-04-02,平和島,7,13:55,投票,3,岡崎恭裕,A1,福岡,7.0,55.81,5.78,22.22,49,36.75,11,31.82,,51.5,38,,
2025-04-02,平和島,7,13:55,投票,4,藤山翔大,A2,大阪,6.33,49.63,5.32,36.84,52,33.92,59,35.8,,52.0,34,,
