選手登録番,レースID,艇番,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,会場,日付,着,選手名,展示タイム,天候,風向,風量,波,単勝オッズ
4739,202403292403,3,32,香川,52,A1,6.61,51.20,7.78,67.57,33.80,0.00,24,2024-03-29,02,中村晃朋,6.58,晴,南,5,5,250
3719,202403292403,4,,,,,栄蔵49広島52A1,6.59,36.56,7.33,32,34,24,2024-03-29,06,辻栄蔵,6.63,晴,南,5,5,500
4262,202403292403,5,40,滋賀,53,A1,7.46,50.00,6.47,33.33,36.88,44.44,24,2024-03-29,03,馬場貴也,6.60,晴,南,5,5,1330
4500,202403292403,6,36,佐賀,54,A1,7.22,45.16,7.64,65.07,35.77,0.00,24,2024-03-29,05,山田康二,6.60,晴,南,5,5,1180
4188,202403292404,1,42,群馬,53,A1,6.94,51.76,7.70,60.00,35.04,36.36,24,2024-03-29,01,久田敏之,6.56,晴,南,6,6,230
4732,202403292404,2,34,徳島,55,A1,6.02,37.19,6.91,52.94,32.86,10.00,24,2024-03-29,03,堀本和也,6.63,晴,南,6,6,190
4371,202403292404,3,36,福岡,53,A1,7.12,48.84,6.29,39.29,30.28,44.44,24,2024-03-29,02,西山貴浩,6.59,晴,南,6,6,250
4445,202403292404,4,37,佐賀,56,A1,6.67,41.54,7.42,60.77,26.56,50.00,24,2024-03-29,04,宮地元輝,6.53,晴,南,6,6,240
4364,202403292404,5,,,,,太39福岡55A1,7.26,56.03,7.57,30,53,24,2024-03-29,06,池永太,6.56,晴,南,6,6,1200
4166,202403292404,6,41,岡山,54,A1,6.75,40.69,6.84,40.00,20.63,0.00,24,2024-03-29,05,吉田拡郎,6.57,晴,南,6,6,590
4831,202403292405,1,28,福岡,54,A1,6.85,37.21,9.11,44.44,24.62,11.11,24,2024-03-29,01,羽野直也,6.55,晴,南,5,5,100
4959,202403292405,2,28,大阪,54,A1,7.20,56.34,8.17,62.07,30.94,25.00,24,2024-03-29,05,井上忠政,6.57,晴,南,5,5,190
4148,202403292405,3,,,,,賢42福岡52A1,7.54,56.90,7.00,67,61,24,2024-03-29,02,枝尾賢,6.63,晴,南,5,5,800
